ngram,influence
loose,0
mind_altering,0
heavy,0
few,-7.526383058
pap,0
vicodin,0
resistance,0
meaningful,0
logistics,0
believe,0.7651746
institutional,0
jaw,0
laid,0
assign,0
originally,0
apiece,0
odd,0
colored,0
hinder,0
gotten,0
evergreen_manor,0
op,0
area,0
computer,0
another,0
plummet,0
sink,0
audit,0
pierce_county,0
ki,0
seventeenth,0
minimize,0
coordination,0
try,0.76041234
lift,0
frank,0
together,0
copy,-0.108008419
hormone,0
listlessness,0
gratitude,0
uncle,0
drinking,-1.346448384
newfound,0
tone,0
scent,0
lengthy,0
hopeless,0
knowledge,0
struggle,0.962406612
cruise,0
mea,0
greek,0
apar,0
progressing,0
grows,0
stocked,0
yeah,9.183993985
christmas,0
allows,0
status,0
hash,0
set,0
flack,0
fantastic,0
current,0
yay,0
special,0
ll,-8.329982428
offere,0
evaluation,7.868303372
mentally,0
sore,0
threshold,0
facility,0
progression,0
woman,12.64667458
clothing,0
spent,0
outgo,0
enhance,0
prosecute,0
fell,0
philosophy,0
caseload,0
dollar,0
craft,0
buzz,0
norm,0
breakdown,0
intervening,0
i_eighty_two,0
fertilize,0
f,0
thursday,0
tragic,0
brown,0
sent,0
guys,0
flaw,0
safety,0
custodial,0
got,0
customize,0
backing,0
ve,0.967354983
previous,0
study,-4.674328895
blue,0
v,0
used,0
terrible,0
demerol,0
tough,-7.894324658
wagon,0
guilty,0
matter,0
compassionate,0
toll,0
alikes,0
formulate,0
normally,-0.631740928
mid,0
student,0
whether,6.814474905
zero,0
dwindle,0
equal,0
laundry,0
massive,0
underlie,0
icy,0
paperwork,0
distance,0
paint,0
saying,0
knowing,0
positives,0
abuser,0
absent,0
pet,0
six,-7.156801694
jacket,0
sugar,0
junior,0
unique,0
impulsive,0
great,4.89966329
concentration,0
opinionated,0
splice,0
nail,0
psych,0
driven,0
fortunately,0
agitate,0
sneak,0
tree,0
nvv,0
fly,1.772496062
educated,0
revise,0
occurrence,0
also,0
spoon,0
idiot,0
link,0
across,0
keg,0
small,0
confide,0
involve,0
tell,0
arrange,0
consume,0
sponge,0
p_o,0
treatment,0
eyebrow,0
structure,0
borrow,0
then,-0.731548376
program,0
child_protective_services,0
resentful,0
claim,0
assume,0
sponsor,-6.908514567
find,-0.391530653
label,0
stimulated,0
apologize,0
anxious,0
xanax,0
participating,0
acceptable,0
foster,0
upstairs,0
weren,-0.977246008
graduation,0
detriment,0
safer,0
soup,0
grain,0
decompressor,0
buddy,0
age,0
lady,0
clerk,0
jim,0
methamphetamine,-17.93253481
former,0
income,0
deform,-2.059432963
anyone,0
learned,0
stephen,2.440324403
hire,0
stabilize,0
alcohol,-3.493063084
three_hundred_and_fifteen,0
matriarch,0
honest,0
ret,0
headache,0
